"4 Non Blondes","What's Up","oLShwvZopls","E:/Karaoke/Songs/4 Non Blondes - What's Up - oLShwvZopls.mp4"
"A Day to Remember","Since U Been Gone","v8OByNS0H-A","E:/Karaoke/Songs/A Day to Remember - Since U Been Gone - v8OByNS0H-A.mkv"
"A Perfect Circle","3 Libras","OjJmlTDjt o","E:/Karaoke/Songs/A Perfect Circle - 3 Libras - OjJmlTDjt_o.mp4"
"A-Ha","Take On Me","GK0hisiU6-c","E:/Karaoke/Songs/A-Ha - Take On Me - GK0hisiU6-c.mkv"
"ABBA","Dancing Queen (acoustic)","tDf3yB8KlBo","E:/Karaoke/Songs/ABBA - Dancing Queen (acoustic) - tDf3yB8KlBo.mkv"
"ABBA","The Winner Takes It All","aq2EvYG6v58","E:/Karaoke/Songs/ABBA - The Winner Takes It All - aq2EvYG6v58.mkv"
"ABBA","The Winner Takes It All (acoustic)","3Sd0ck85I58","E:/Karaoke/Songs/ABBA - The Winner Takes It All (acoustic) - 3Sd0ck85I58.mkv"
"ABBA","Waterloo","wphW2H4ucg4","E:/Karaoke/Songs/ABBA - Waterloo - wphW2H4ucg4.mp4"
"AC?DC","Highway to Hell","q2UpIZ8h0Zo","E:/Karaoke/Songs/AC?DC - Highway to Hell - q2UpIZ8h0Zo.mp4"
"Adam and the Ants","Stand and Deliver","FdkOPfTmj3c","E:/Karaoke/Songs/Adam and the Ants - Stand and Deliver - FdkOPfTmj3c.mkv"
"Adam Lambert","Whataya Want From Me","HjTdUhHLpQQ","E:/Karaoke/Songs/Adam Lambert - Whataya Want From Me - HjTdUhHLpQQ.mp4"
"Addams Family, The","Theme Song","GHkHXU73pvs","E:/Karaoke/Songs/Addams Family, The - Theme Song - GHkHXU73pvs.mp4"
"Adriano Celentano","Prisencolinensinainciusol","-Td-kOcglTE","E:/Karaoke/Songs/Adriano Celentano - Prisencolinensinainciusol - -Td-kOcglTE.mp4"
"Adventure Time","Monster","OwME3OP8UPo","E:/Karaoke/Songs/Adventure Time - Monster - OwME3OP8UPo.mp4"
"Aerosmith","Back In The Saddle","Xqjpgmv579M","E:/Karaoke/Songs/Aerosmith - Back In The Saddle - Xqjpgmv579M.mp4"
"Aerosmith","Dude (Looks Like A Lady)","BCso4jpfFwM","E:/Karaoke/Songs/Aerosmith - Dude (Looks Like A Lady) - BCso4jpfFwM.mp4"
"Aerosmith","Home Tonight","2pX795U-nhw","E:/Karaoke/Songs/Aerosmith - Home Tonight - 2pX795U-nhw.mkv"
"AFI","Girl's Not Grey","RClCFFtXPKM","E:/Karaoke/Songs/AFI - Girl's Not Grey - RClCFFtXPKM.mp4"
"AFI","Miss Murder","eniwR fndkw","E:/Karaoke/Songs/AFI - Miss Murder - eniwR_fndkw.mp4"
"Against Me!","Baby, I'm an Anarchist!","JSZtpVC7WF4","E:/Karaoke/Songs/Against Me! - Baby, I'm an Anarchist! - JSZtpVC7WF4.mkv"
"Against Me!","Transgender Dysphoria Blues","NFAy7 7sauA","E:/Karaoke/Songs/Against Me! - Transgender Dysphoria Blues - NFAy7_7sauA.mkv"
"Air","Sexy Boy","LaJ c39HmA0","E:/Karaoke/Songs/Air - Sexy Boy - LaJ_c39HmA0.mkv"
"AJJ","Bad Bad Things","lAamDD8Vzvw","E:/Karaoke/Songs/AJJ - Bad Bad Things - lAamDD8Vzvw.mp4"
"AJJ","Brave as a Noun & Survival Song","Z8HK6GQQXN0","E:/Karaoke/Songs/AJJ - Brave as a Noun & Survival Song - Z8HK6GQQXN0.mp4"
"AJJ","Getting Naked, Playing with Guns","yNd8T1Qq010","E:/Karaoke/Songs/AJJ - Getting Naked, Playing with Guns - yNd8T1Qq010.mkv"
"AJJ","Hate, Rain on Me","3CdZUCt0q-0","E:/Karaoke/Songs/AJJ - Hate, Rain on Me - 3CdZUCt0q-0.mkv"
