4 Non Blondes,What's Up,oLShwvZopls,2020-01-01
A Perfect Circle,3 Libras,OjJmlTDjt_o,2020-01-01
AC?DC,Highway to Hell,q2UpIZ8h0Zo,2020-01-01
Adam Lambert,Whataya Want From Me,HjTdUhHLpQQ,2020-01-01
"Addams Family, The",Theme Song,GHkHXU73pvs,2020-01-01
Aerosmith,Back In The Saddle,Xqjpgmv579M,2020-01-01
Aerosmith,Dude (Looks Like A Lady),BCso4jpfFwM,2020-01-01
Alanis Morisette,You Oughta Know,BBdPnDnmPzc,2020-01-01
Alannah Myles,Black Velvet,mY10QWZ37CM,2020-01-01
Alex Clare,Too Close,eL3tytOM9Iw,2020-01-01
Alice in Chains,Dirt,VKHVaQdvWFk,2020-01-01
Alice in Chains,Nutshell,ZJ-DEPyJo7I,2020-01-01
Alice in Chains,Sunshine,t7gQtDVYM6g,2020-01-01
Amy Winehouse,Back to Black,bxSW_66ptUg,2020-01-01
Amy Winehouse,He Can Only Hold Her,h_ndpFwIOVg,2020-01-01
Amy Winehouse,Me and Mr. Jones,Co7sxfr42Ng,2020-01-01
Amy Winehouse,Rehab,TgOPJKg3u2s,2020-01-01
Amy Winehouse,Valerie ('68 Version),rKn345EvCiU,2020-01-01
Andrew Gold,Spooky Scary Skeletons,wkHL5AsSzF4,2020-01-01
Arctic Monkeys,Do I Wanna Know,edorf0kTnJw,2020-01-01
Ashnikko,Daisy,qY3bMfwFTec,2020-01-01
Ashnikko,Deal With It ft. Kelis,vVKyP5ZvJ8,2020-01-01
Ashnikko,L8r Boi,HwZ4RewfElA,2020-01-01
Ashnikko,Toxic,NPj49Gx7YE8,2020-01-01
"Ataris, The","Boys of Summer, The",kX0C0dxIyiM,2020-01-01
Audioslave,Like A Stone,Cu-EsbslMts,2020-01-01
Aurora,Running With The Wolves,B0A2GO2DEOo,2020-01-01
Avenged Sevenfold,Bat Country,Bd-MgL6gJSk,2020-01-01
Avenged Sevenfold,Nightmare,OiZToyYDluY,2020-01-01
Avenged Sevenfold,Scream,oB7iT0PNA9Q,2020-01-01
"B-52's, The",Love Shack,ezjrgMVuceg,2020-01-01
"B-52's, The",Love Shack (Duet),HcR9yHaBOC4,2020-01-01
"B-52's, The",Song for a Future Generation,xM6s_10nakc,2020-01-01
Backstreet Boys,I Want It That Way,NxilU56kPu0,2020-01-01
Bauhaus,Bela Lugosi's Dead (abbr. 6 min.),ZjjQQOc5XkM,2020-01-01
Bauhaus,Bela Lugosi's Dead (full 9 min.),LF-dJvtfgDk,2020-01-01
Be Your Own Pet,Becky,MpDOZ-ygV5A,2020-01-01
"Beach Boys, The",Kokomo,aHmfaaKerP4,2020-01-01
Beastie Boys,Paul Revere,y5h1VIah6ew,2020-01-01
"Beatles, The",Yellow Submarine,zvDMgPt5Bxo,2020-01-01
Beyonce,If I Were A Boy,56kZ5BYfO6E,2020-01-01
Big & Rich,Save a Horse (Ride a Cowboy),uzJPCc13qCM,2020-01-01
Billie Eilish,Bad Guy,l1aVSxQIWAw,2020-01-01
Billy Joel,Vienna,gb91uPVocEo,2020-01-01
Billy Joel,Why Should I Worry,D113KMWg-Eg,2020-01-01
Black Sabbath,Black Sabbath,QRfjZIqkvNk,2020-01-01
Black Sabbath,Children of the Grave,VuknzPJZxd0,2020-01-01
Black Sabbath,Fairies Wear Boots,kAFWhZUjPeM,2020-01-01
Black Sabbath,NIB,ZTFzMHNfkbQ,2020-01-01
Black Sabbath,War Pigs,68GwgTJynuQ,2020-01-01
Blink-182,All the Small Things,WCWHVRaBtLg,2020-01-01
Blink-182,Dammit,EySDrEFb5Kg,2020-01-01
Blue Kid,"Dismemberment Song, The",7NClxY5jNs0,2020-01-01
Blue Oyster Cult,(Don't Fear) The Reaper,vLwboi5VkMU,2020-01-01
Bobby 'Boris' Pickett,Monster Mash,-fVgl9-Zx3k,2020-01-01
Bobby McFerrin,Don't Worry Be Happy,7-tt3aXIufs,2020-01-01
Bon Jovi,I'll Be There for You,3jlz2bRn9_0,2020-01-01
Bon Jovi,Wanted Dead Or Alive,Zwy2shCdQPQ,2020-01-01
Bonnie Raitt,Something To Talk About,ukQNTkTxqFU,2020-01-01
Brandi Carlile,"Story, The",5Ysa5iyrpZI,2020-01-01
Britney Spears,Toxic,prgoLEZTit0,2020-01-01
"Buoys, The",Timothy,8KsDlwx5II8,2020-01-01
Bush,Glycerine,Wz7o1iTV3Gk,2020-01-01
Bush,Machinehead,S_MDcEqYSTw,2020-01-01
Bush,Testosterone,wDYOMLNgTGw,2020-01-01
Carrie Underwood,Before He Cheats,AqYrOoZpsjg,2020-01-01
Carrie Underwood,Church Bells,BUHAZnoSl8g,2020-01-01
Carrie Underwood,Ghost Story,4aHucsyTdiY,2020-01-01
Cher,Believe,n24s-klOW0c,2020-01-01
"Chicks, The",Cowboy Take Me Away,rj-tnieGkB4,2020-01-01
"Chicks, The",Goodbye Earl,p1WXou5zv5M,2020-01-01
"Chicks, The",There's Your Trouble,D5LlUFtgpQk,2020-01-01
Chip 'N Dale Rescue Rangers,Chip 'N Dale Rescue Rangers Theme Song,jtHw28HAzLs,2020-01-01
Chris Cornell,Can't Change Me,pSn1dy5gtp4,2020-01-01
Chris Isaak,Wicked Game,QCCgj948gGQ,2020-01-01
"Church, The",Reptile,GAm0aT4_9vs,2020-01-01
"Church, The",Under the Milky Way,N_dCaUpD15U,2020-01-01
CHVRCHES & Robert Smith,How Not to Drown (Duet),2iUtuNMwt88,2020-01-01
"Cramps, The",Goo Goo Muck,i7evW97VhMc,2020-01-01
"Cranberries, The",Zombie,m8CEEkqQiiY,2020-01-01
"Cure, The",Just Like Heaven,0421tpZGaBU,2020-01-01
"Cure, The",Lullaby,89vdI_bblv0,2020-01-01
Cyndi Lauper,Girls Just Want To Have Fun,-Fg7m1ZqkxI,2020-01-01
Danzig,Mother,DJupAbO4rLA,2020-01-01
Dashboard Confessional,Vindicated,JuM6tjk_AQU,2020-01-01
David Bowie,Ashes To Ashes,Io_xgvSLVrM,2020-01-01
David Bowie,Changes,7cbFiCN0LA4,2020-01-01
David Bowie,Fame,mvKHRjzsYm4,2020-01-01
David Bowie,Heroes,VzM15dOXLA8,2020-01-01
David Bowie,Let's Dance,YC5orEtpCCI,2020-01-01
David Bowie,Life On Mars,7q8PGq5ogbg,2020-01-01
David Bowie,"Man Who Sold The World, The",4F2bvQfQy9g,2020-01-01
David Bowie,Modern Love,LTgmQ47fj7U,2020-01-01
David Bowie,Moonage Daydream,H4UR-sZFhRo,2020-01-01
